search_term,id,name,canonical_name,target_type,status,reach
Melbourne,1000567,Melbourne,"Melbourne,Victoria,Australia",City,ENABLED,7920000
Melbourne,9060880,Melbourne,"Melbourne,Melbourne,Victoria,Australia",City,ENABLED,940000
Melbourne,9112654,Melbourne City,"Melbourne City,Victoria,Australia",Municipality,ENABLED,1300000
Melbourne,9198419,Melbourne Airport,"Melbourne Airport,Victoria,Australia",City,ENABLED,227000
Melbourne,9056913,CBD & South Melbourne,"CBD & South Melbourne,Victoria,Australia",City Region,ENABLED,1430000
Melbourne,1000521,Cranbourne,"Cranbourne,Victoria,Australia",City,ENABLED,68000
Melbourne,9047631,Mornington,"Mornington,Victoria,Australia",City,ENABLED,67000
Melbourne,9071338,3000,"3000,Victoria,Australia",Postal Code,ENABLED,787000
Melbourne,9071341,3003,"3003,Victoria,Australia",Postal Code,ENABLED,128000
Melbourne,9071422,3206,"3206,Victoria,Australia",Postal Code,ENABLED,51000
Victoria,20040,Victoria,"Victoria,Australia",State,ENABLED,8120000
Victoria,1000226,Victoria Point,"Victoria Point,Queensland,Australia",City,ENABLED,26000
Victoria,9060908,Victoria Park,"Victoria Park,Western Australia,Australia",City,ENABLED,51000
Victoria,9112763,Town of Victoria Park,"Town of Victoria Park,Western Australia,Australia",Municipality,ENABLED,305000
Victoria,9071338,3000,"3000,Victoria,Australia",Postal Code,ENABLED,787000
Victoria,9071333,3121,"3121,Victoria,Australia",Postal Code,ENABLED,263000
Victoria,9071331,3144,"3144,Victoria,Australia",Postal Code,ENABLED,77000
Victoria,20036,Northern Territory,"Northern Territory,Australia",State,ENABLED,258000
Victoria,9070765,0852,"0852,Northern Territory,Australia",Postal Code,ENABLED,29000
Victoria,9070668,6429,"6429,Western Australia,Australia",Postal Code,ENABLED,6000
Melbourne CBD,9060880,Melbourne,"Melbourne,Melbourne,Victoria,Australia",City,ENABLED,940000
Melbourne CBD,9199088,Port Melbourne,"Port Melbourne,Victoria,Australia",City,ENABLED,93000
Melbourne CBD,9056913,CBD & South Melbourne,"CBD & South Melbourne,Victoria,Australia",City Region,ENABLED,1430000
Melbourne CBD,9060882,South Melbourne,"South Melbourne,Victoria,Australia",City,ENABLED,115000
Melbourne CBD,9060892,East Melbourne,"East Melbourne,Victoria,Australia",City,ENABLED,135000
Melbourne CBD,9060883,Collingwood,"Collingwood,Victoria,Australia",City,ENABLED,96000
Melbourne CBD,9060886,Southbank,"Southbank,Victoria,Australia",City,ENABLED,212000
Melbourne CBD,9071341,3003,"3003,Victoria,Australia",Postal Code,ENABLED,128000
Melbourne CBD,9071422,3206,"3206,Victoria,Australia",Postal Code,ENABLED,51000
Melbourne CBD,9071344,3068,"3068,Victoria,Australia",Postal Code,ENABLED,82000
Docklands,9071341,3003,"3003,Victoria,Australia",Postal Code,ENABLED,128000
Southbank,9060886,Southbank,"Southbank,Victoria,Australia",City,ENABLED,212000
Southbank,9071406,3006,"3006,Victoria,Australia",Postal Code,ENABLED,243000
Carlton,9060885,Carlton,"Carlton,Victoria,Australia",City,ENABLED,194000
Carlton,9231305,Carlton,"Carlton,Tasmania,Australia",City,ENABLED,1000
Carlton,9071423,3054,"3054,Victoria,Australia",Postal Code,ENABLED,51000
Carlton,9071853,2218,"2218,New South Wales,Australia",Postal Code,ENABLED,33000
Carlton,9072344,7173,"7173,Tasmania,Australia",Postal Code,ENABLED,7000
Fitzroy,9060881,Fitzroy,"Fitzroy,Victoria,Australia",City,ENABLED,131000
Fitzroy,9070763,6728,"6728,Western Australia,Australia",Postal Code,ENABLED,10000
Fitzroy,9071931,2577,"2577,New South Wales,Australia",Postal Code,ENABLED,80000
Fitzroy,9070869,5082,"5082,South Australia,Australia",Postal Code,ENABLED,69000
Fitzroy,9230349,Cairns Regional,"Cairns Regional,Queensland,Australia",Municipality,ENABLED,309000
Fitzroy,9071344,3068,"3068,Victoria,Australia",Postal Code,ENABLED,82000
Collingwood,9060883,Collingwood,"Collingwood,Victoria,Australia",City,ENABLED,96000
Collingwood,9190946,Collingwood Park,"Collingwood Park,Queensland,Australia",City,ENABLED,13000
Collingwood,9071669,2850,"2850,New South Wales,Australia",Postal Code,ENABLED,53000
Collingwood,9070653,6330,"6330,Western Australia,Australia",Postal Code,ENABLED,37000
Richmond,1000278,Richmond,"Richmond,New South Wales,Australia",City,ENABLED,21000
Richmond,9060887,Richmond,"Richmond,Victoria,Australia",City,ENABLED,167000
Richmond,9060832,Richmond,"Richmond,South Australia,Australia",City,ENABLED,15000
Richmond,9248308,Richmond,"Richmond,Tasmania,Australia",City,ENABLED,8000
Richmond,9193337,North Richmond,"North Richmond,New South Wales,Australia",City,ENABLED,11000
Richmond,9246166,Clarence Valley Council,"Clarence Valley Council,New South Wales,Australia",Municipality,ENABLED,77000
Richmond,20037,Queensland,"Queensland,Australia",State,ENABLED,5710000
Richmond,9069031,4822,"4822,Queensland,Australia",Postal Code,ENABLED,3000
Richmond,9216292,Charters Towers,"Charters Towers,Queensland,Australia",City,ENABLED,10000
Richmond,9068976,4740,"4740,Queensland,Australia",Postal Code,ENABLED,109000
South Yarra,9060889,South Yarra,"South Yarra,Victoria,Australia",City,ENABLED,144000
South Yarra,9060883,Collingwood,"Collingwood,Victoria,Australia",City,ENABLED,96000
South Yarra,9060881,Fitzroy,"Fitzroy,Victoria,Australia",City,ENABLED,131000
South Yarra,9060893,Abbotsford,"Abbotsford,Victoria,Australia",City,ENABLED,78000
South Yarra,9228089,Yarramundi,"Yarramundi,New South Wales,Australia",City,ENABLED,1000
South Yarra,9071344,3068,"3068,Victoria,Australia",Postal Code,ENABLED,82000
South Yarra,9071734,2753,"2753,New South Wales,Australia",Postal Code,ENABLED,35000
South Yarra,9071888,2233,"2233,New South Wales,Australia",Postal Code,ENABLED,38000
South Yarra,9072189,2259,"2259,New South Wales,Australia",Postal Code,ENABLED,126000
South Yarra,9070791,5713,"5713,South Australia,Australia",Postal Code,ENABLED,2000
Cremorne,9071783,2088,"2088,New South Wales,Australia",Postal Code,ENABLED,104000
Cremorne,9071333,3121,"3121,Victoria,Australia",Postal Code,ENABLED,263000
Cremorne,9071795,2090,"2090,New South Wales,Australia",Postal Code,ENABLED,31000
Cremorne,9072338,7020,"7020,Tasmania,Australia",Postal Code,ENABLED,2000
Cremorne,9068976,4740,"4740,Queensland,Australia",Postal Code,ENABLED,109000
Abbotsford,9060893,Abbotsford,"Abbotsford,Victoria,Australia",City,ENABLED,78000
Abbotsford,9071757,2046,"2046,New South Wales,Australia",Postal Code,ENABLED,65000
Hawthorn,9192810,Hawthorn East,"Hawthorn East,Victoria,Australia",City,ENABLED,59000
Hawthorn,9244709,Hawthorn,"Hawthorn,Victoria,Australia",City,ENABLED,113000
Hawthorn,9222745,Hawthorndene,"Hawthorndene,South Australia,Australia",City,ENABLED,4000
Hawthorn,9070894,5061,"5061,South Australia,Australia",Postal Code,ENABLED,37000
Hawthorn,9069263,4170,"4170,Queensland,Australia",Postal Code,ENABLED,79000
Hawthorn,9071335,3122,"3122,Victoria,Australia",Postal Code,ENABLED,111000
Hawthorn,9070903,5051,"5051,South Australia,Australia",Postal Code,ENABLED,24000
Hawthorn,9070550,6016,"6016,Western Australia,Australia",Postal Code,ENABLED,36000
Kew,9192881,Kew,"Kew,Victoria,Australia",City,ENABLED,85000
Kew,9190099,Kew East,"Kew East,Victoria,Australia",City,ENABLED,24000
Kew,9194760,Kewdale,"Kewdale,Western Australia,Australia",City,ENABLED,44000
Kew,9217929,Kewarra Beach,"Kewarra Beach,Queensland,Australia",City,ENABLED,7000
Kew,9256746,Kew,"Kew,New South Wales,Australia",City,ENABLED,4000
Kew,9071134,3393,"3393,Victoria,Australia",Postal Code,ENABLED,3000
Kew,9072249,2439,"2439,New South Wales,Australia",Postal Code,ENABLED,10000
Kew,9070592,6105,"6105,Western Australia,Australia",Postal Code,ENABLED,203000
Kew,9069205,4879,"4879,Queensland,Australia",Postal Code,ENABLED,34000
Camberwell,9071323,3124,"3124,Victoria,Australia",Postal Code,ENABLED,81000
Camberwell,9235061,Singleton Council,"Singleton Council,New South Wales,Australia",Municipality,ENABLED,42000
Balwyn,9192117,Balwyn North,"Balwyn North,Victoria,Australia",City,ENABLED,62000
Balwyn,9190828,Balwyn,"Balwyn,Victoria,Australia",City,ENABLED,35000
Balwyn,9071328,3103,"3103,Victoria,Australia",Postal Code,ENABLED,43000
Surrey Hills,9193454,Surrey Hills,"Surrey Hills,Victoria,Australia",City,ENABLED,32000
Surrey Hills,9071327,3127,"3127,Victoria,Australia",Postal Code,ENABLED,54000
Glen Iris,9189448,Glen Iris,"Glen Iris,Victoria,Australia",City,ENABLED,67000
Glen Iris,9219829,Glen Iris,"Glen Iris,Western Australia,Australia",City,ENABLED,6000
Glen Iris,9070489,6230,"6230,Western Australia,Australia",Postal Code,ENABLED,67000
Malvern,9197677,Malvern East,"Malvern East,Victoria,Australia",City,ENABLED,162000
