keyword,close_variants,avg_monthly_searches,competition,competition_index,low_top_bid_aud,high_top_bid_aud,2025-09,2025-10,2025-11,2025-12,2025-13,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08
coffee machine rental,rent coffee machine,720,HIGH,75,2.44,6.81,590,2400,590,480,320,480,480,720,590,590,480,480
coffee machines for offices,,720,HIGH,100,3.33,19.53,720,1600,590,590,320,590,590,880,590,590,590,480
coffee machine hire,hire coffee machine,390,HIGH,80,2.05,5.92,480,880,480,320,210,320,320,590,390,390,390,320
coffee machine rental for office,office coffee machine rental,110,HIGH,68,2.77,9.68,90,590,70,40,40,90,90,140,90,90,70,70
commercial coffee machine rental,,110,HIGH,83,2.59,9.02,90,320,90,70,40,110,140,140,70,70,50,70
workplace coffee machine,,110,HIGH,100,2.32,16.37,110,390,90,70,50,50,90,170,70,90,90,90
commercial coffee machine hire,,90,HIGH,90,1.73,4.38,90,320,90,70,30,50,50,110,70,70,50,40
coffee machine rental melbourne,rent coffee machine melbourne|coffee machine rental melbourne,70,HIGH,71,2.98,11.71,40,320,70,30,20,30,50,40,40,50,90,70
coffee machine hire melbourne,coffee machine hire melbourne,70,HIGH,71,2.56,9.05,70,170,70,40,20,50,50,70,40,50,50,70
office coffee machine hire,,70,HIGH,75,3.7,9.83,70,260,70,50,30,40,30,90,40,50,30,30
coffee machine lease,,70,HIGH,94,2.77,8.7,70,50,70,70,40,70,70,90,90,90,70,50
coffee machine rental near me,,30,HIGH,86,1.69,12.91,20,20,10,10,10,30,10,50,70,10,70,10
commercial coffee machine for office,,30,HIGH,79,2.77,14.87,30,20,20,20,10,20,50,70,30,40,30,20
corporate coffee machine rental,,20,HIGH,81,12.62,25.6,10,140,20,10,10,10,10,10,10,10,10,10
automatic coffee machine rental,,20,HIGH,76,3.03,19.19,10,110,20,10,10,10,10,10,10,10,10,10
office coffee machine hire melbourne,,10,HIGH,100,2.54,7.6,10,90,20,0,10,10,10,0,10,0,10,10
commercial coffee machine hire melbourne,,10,MEDIUM,37,2.14,4.53,20,10,10,10,10,10,20,10,10,10,10,20
coffee machine lease melbourne,,10,UNSPECIFIED,0,0.0,0.0,10,0,10,10,10,10,10,10,10,10,10,0
office coffee machine lease,,10,HIGH,100,0.0,0.0,10,10,10,0,10,10,10,10,10,10,10,10
commercial coffee machine lease,,10,HIGH,94,2.4,6.73,20,20,10,20,10,10,10,20,10,10,20,10
coffee machine rental for business,,10,HIGH,76,4.84,20.11,10,10,10,10,0,10,0,0,10,0,10,10
espresso machine hire melbourne,,10,UNSPECIFIED,0,0.0,0.0,10,10,0,0,0,0,0,0,10,10,10,0
office coffee machine melbourne,office coffee machines melbourne|office coffee machine melbourne,10,HIGH,96,8.59,14.98,10,10,10,0,10,10,20,10,10,10,10,10
bean to cup coffee machine rental,,10,LOW,0,0.0,0.0,0,0,0,0,0,10,0,0,0,10,0,10
free coffee machine for office,,10,UNSPECIFIED,0,0.0,0.0,10,70,0,10,0,10,10,10,10,10,10,0
free coffee machine for business,,10,MEDIUM,48,0.0,0.0,10,90,10,10,10,10,10,20,10,10,20,10
coffee machine hire near me,,10,HIGH,80,1.73,6.42,10,10,10,20,10,10,20,30,20,20,10,10
coffee machine rental cost,,10,UNSPECIFIED,0,0.0,0.0,10,10,0,10,0,10,10,10,10,10,0,0
how much does it cost to rent a coffee machine,,10,LOW,29,0.0,0.0,10,10,10,0,10,10,10,10,10,10,10,10
