keyword,avg_monthly_searches,competition,competition_index,low_top_bid_aud,high_top_bid_aud
commercial coffee machine rental,110,HIGH,83,2.59,9.02
office coffee machine rental,110,HIGH,68,2.77,9.68
coffee machine lease for office,110,HIGH,68,2.77,9.68
lease coffee machine for office,110,HIGH,68,2.77,9.68
coffee machine rental office,110,HIGH,68,2.77,9.68
commercial coffee machine renting,110,HIGH,83,2.59,9.02
coffee machines rental commercial,110,HIGH,83,2.59,9.02
commercial coffee maker rental,110,HIGH,83,2.59,9.02
commercial coffee machine hire,90,HIGH,90,1.73,4.38
coffee machine rental melbourne,70,HIGH,71,2.98,11.71
coffee machine hire melbourne,70,HIGH,71,2.56,9.05
office coffee machine hire,70,HIGH,75,3.7,9.83
lease coffee machines,50,HIGH,91,2.65,8.22
corporate coffee machine rental,20,HIGH,81,12.62,25.6
coffee machine hire for events melbourne,20,LOW,27,2.37,4.04
office coffee machine hire melbourne,10,HIGH,100,2.54,7.6
coffee machine lease melbourne,10,UNSPECIFIED,0,0.0,0.0
commercial coffee machine rentals near me,10,HIGH,71,0.0,0.0
commercial coffee machine lease,10,HIGH,94,2.4,6.73
business coffee machine rental,10,UNSPECIFIED,0,0.0,0.0
rent a coffee machine for business,10,HIGH,88,3.09,13.78
coffee machine hire for business,10,HIGH,100,0.0,0.0
rent coffee machine for cafe,10,HIGH,98,2.77,5.34
commercial espresso machine rental,10,HIGH,71,0.0,0.0
commercial espresso machine lease,10,HIGH,86,2.35,7.7
industrial coffee machine rental,10,HIGH,86,0.0,0.0
coffee vending machine for office on rent,10,UNSPECIFIED,0,0.0,0.0
commercial coffee machine hire melbourne,10,MEDIUM,37,2.14,4.53
restaurant coffee machine rental,10,UNSPECIFIED,0,0.0,0.0
commercial espresso machine hire,10,UNSPECIFIED,0,0.0,0.0
industrial coffee machines for hire,10,HIGH,86,0.0,0.0
professional coffee machine rental,10,HIGH,86,0.0,0.0
ccd coffee machine for office on rent,0,UNSPECIFIED,0,0.0,0.0
commercial coffee machines to hire,0,UNSPECIFIED,0,0.0,0.0
industrial coffee maker rental,0,UNSPECIFIED,0,0.0,0.0
bean to cup coffee machines commercial lease,0,UNSPECIFIED,0,0.0,0.0
office coffee service melbourne,0,UNSPECIFIED,0,0.0,0.0
