keyword,avg_monthly_searches,competition,competition_index,low_top_bid_aud,high_top_bid_aud
coffee machine rental melbourne,40,HIGH,97,3.34,13.18
coffee machine hire melbourne,40,HIGH,92,2.56,9.29
commercial coffee machine rental,20,HIGH,89,2.55,7.72
office coffee machine rental,20,HIGH,82,3.1,9.68
coffee machine lease for office,20,HIGH,82,3.1,9.68
lease coffee machine for office,20,HIGH,82,3.1,9.68
office coffee machine hire,20,HIGH,88,3.19,9.42
coffee machine rental office,20,HIGH,82,3.1,9.68
commercial coffee machine renting,20,HIGH,89,2.55,7.72
coffee machine hire for events melbourne,20,MEDIUM,63,1.71,5.67
coffee machines rental commercial,20,HIGH,89,2.55,7.72
commercial coffee maker rental,20,HIGH,89,2.55,7.72
office coffee machine hire melbourne,10,HIGH,100,2.54,7.6
coffee machine lease melbourne,10,UNSPECIFIED,0,0.0,0.0
commercial coffee machine rentals near me,10,UNSPECIFIED,0,0.0,0.0
commercial coffee machine lease,10,HIGH,79,0.0,0.0
commercial coffee machine hire,10,HIGH,97,1.73,4.15
business coffee machine rental,10,UNSPECIFIED,0,0.0,0.0
rent a coffee machine for business,10,HIGH,86,0.0,0.0
coffee machine hire for business,10,HIGH,100,0.0,0.0
corporate coffee machine rental,10,HIGH,71,0.0,0.0
rent coffee machine for cafe,10,HIGH,86,0.0,0.0
commercial espresso machine rental,10,UNSPECIFIED,0,0.0,0.0
lease coffee machines,10,HIGH,90,2.29,6.43
commercial espresso machine lease,10,HIGH,86,0.0,0.0
industrial coffee machine rental,10,HIGH,86,0.0,0.0
coffee vending machine for office on rent,10,UNSPECIFIED,0,0.0,0.0
commercial coffee machine hire melbourne,10,HIGH,89,1.73,5.01
restaurant coffee machine rental,10,UNSPECIFIED,0,0.0,0.0
commercial espresso machine hire,10,UNSPECIFIED,0,0.0,0.0
industrial coffee machines for hire,10,HIGH,86,0.0,0.0
professional coffee machine rental,10,HIGH,86,0.0,0.0
ccd coffee machine for office on rent,0,UNSPECIFIED,0,0.0,0.0
commercial coffee machines to hire,0,UNSPECIFIED,0,0.0,0.0
industrial coffee maker rental,0,UNSPECIFIED,0,0.0,0.0
bean to cup coffee machines commercial lease,0,UNSPECIFIED,0,0.0,0.0
office coffee service melbourne,0,UNSPECIFIED,0,0.0,0.0
